"GENETIC CIRCUIT BEHAVIOR FOR EACH SOLUTION AT EACH TIME POINT"

"SOLN#","TIME","L1","PROMOTOR BEHAVIOR"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","TRANSCRIPT BEHAVIOR"," "," "," "," "," "," "," "," "," "," "," ","ENZYME BEHAVIOR"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"SOLN#","TIME","L1",alpha_P_CaMV35S                     ,alpha_P_CdI3                        ,alpha_P_CAO                         ,alpha_P_EXO70B1_11                  ,alpha_P_IRT1                        ,alpha_P_ZIP5                        ,alpha_P_CdI10                       ,alpha_P_GSTF1                       ,alpha_P_GT                          ,alpha_P_FRO2                        ,alpha_P_RSU1                        ,alpha_P_FRD3                        ,alpha_P_HYP1                        ,alpha_P_ZIP4                        ,alpha_P_ZIP2                        ,alpha_P_lambda                      ,alpha_P_RM                          ,alpha_P_ara                         ,alpha_P_tet                         ,alpha_P_ara2                        ,alpha_plus_P_CaMV35S                     ,alpha_plus_P_CdI3                        ,alpha_plus_P_CAO                         ,alpha_plus_P_EXO70B1_11                  ,alpha_plus_P_IRT1                        ,alpha_plus_P_ZIP5                        ,alpha_plus_P_CdI10                       ,alpha_plus_P_GSTF1                       ,alpha_plus_P_GT                          ,alpha_plus_P_FRO2                        ,alpha_plus_P_RSU1                        ,alpha_plus_P_FRD3                        ,alpha_plus_P_HYP1                        ,alpha_plus_P_ZIP4                        ,alpha_plus_P_ZIP2                        ,alpha_plus_P_lambda                      ,alpha_plus_P_RM                          ,alpha_plus_P_ara                         ,alpha_plus_P_tet                         ,alpha_plus_P_ara2                        ,phi_gene_mKO                      ,phi_gene_GFP                      ,phi_gene_TagBFP                   ,phi_gene_AraC                     ,phi_gene_tetR                     ,phi_gene_cI                       ,RNA_carry_gene_mKO                      ,RNA_carry_gene_GFP                      ,RNA_carry_gene_TagBFP                   ,RNA_carry_gene_AraC                     ,RNA_carry_gene_tetR                     ,RNA_carry_gene_cI                       ,Enzyme_carry_mKO                           ,Enzyme_carry_GFP                           ,Enzyme_carry_TagBFP                        ,Enzyme_carry_AraC                          ,Enzyme_carry_tetR                          ,Enzyme_carry_cI                            ,gamma_mKO                           ,gamma_GFP                           ,gamma_TagBFP                        ,gamma_AraC                          ,gamma_tetR                          ,gamma_cI                            ,omega_mKO                           ,omega_GFP                           ,omega_TagBFP                        ,omega_AraC                          ,omega_tetR                          ,omega_cI                            ,C_mKO                           ,C_GFP                           ,C_TagBFP                        ,C_AraC                          ,C_tetR                          ,C_cI                            ,C_plus_mKO                           ,C_plus_GFP                           ,C_plus_TagBFP                        ,C_plus_AraC                          ,C_plus_tetR                          ,C_plus_cI                            ,kappa_mKO                           ,kappa_GFP                           ,kappa_TagBFP                        ,kappa_AraC                          ,kappa_tetR                          ,kappa_cI                            ,W_mKO                           ,W_GFP                           ,W_TagBFP                        ,W_AraC                          ,W_tetR                          ,W_cI                            ,
"0","0","none",1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0","1","none",1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,5.00,5.00,5.00,0.63,0.63,0.00,2.50,2.50,3.15,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.26,1.26,0.00,5.00,5.00,6.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0","2","none",1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,5.00,5.00,5.00,1.03,1.03,0.00,3.75,3.75,5.13,0.63,0.63,0.00,2.50,2.50,1.58,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,2.05,2.05,0.00,7.50,7.50,10.27,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
"0","3","none",1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,5.00,1.00,0.00,1.00,5.00,1.00,1.28,1.28,0.00,4.38,4.38,6.38,1.34,1.34,0.00,5.00,5.00,2.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,2.55,2.55,0.00,8.75,8.75,12.77,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00
"0","4","none",1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,5.00,1.00,0.00,1.00,5.00,1.00,3.95,1.43,0.00,2.69,4.69,4.65,1.95,1.95,0.00,6.88,6.88,3.93,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,7.91,2.87,0.00,5.38,9.38,9.30,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00
"0","5","none",1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,5.00,1.00,0.00,1.00,5.00,1.00,5.64,1.53,0.00,1.84,4.84,3.56,4.93,2.41,0.00,6.13,8.13,3.31,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,11.28,3.07,0.00,3.69,9.69,7.12,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00
"0","6","none",1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,5.00,5.00,6.70,1.60,0.00,1.42,4.92,2.87,8.11,2.74,0.00,4.91,8.91,2.61,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,13.41,3.19,0.00,2.84,9.85,5.75,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00
"0","7","none",1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,5.00,5.00,4.85,1.64,0.00,1.21,4.96,4.96,10.76,2.97,0.00,3.88,9.38,2.09,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,9.71,3.27,0.00,2.42,9.92,9.92,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00
"0","8","none",1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,5.00,5.00,3.69,1.66,0.00,1.11,4.98,6.27,10.23,3.12,0.00,3.15,9.65,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,7.37,3.32,0.00,2.21,9.96,12.55,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00
