"GENETIC CIRCUIT BEHAVIOR FOR EACH SOLUTION AT EACH TIME POINT"

"SOLN#","TIME","L1","L2","PROMOTOR BEHAVIOR"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","TRANSCRIPT BEHAVIOR"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","ENZYME BEHAVIOR"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"SOLN#","TIME","L1","L2",alpha_P_CaMV35S                     ,alpha_P_CdI3                        ,alpha_P_CAO                         ,alpha_P_EXO70B1_11                  ,alpha_P_IRT1                        ,alpha_P_ZIP5                        ,alpha_P_CdI10                       ,alpha_P_GSTF1                       ,alpha_P_GT                          ,alpha_P_FRO2                        ,alpha_P_RSU1                        ,alpha_P_FRD3                        ,alpha_P_HYP1                        ,alpha_P_ZIP4                        ,alpha_P_ZIP2                        ,alpha_P_lambda                      ,alpha_P_RM                          ,alpha_P_ara                         ,alpha_P_tet                         ,alpha_P_ara2                        ,alpha_P_A                           ,alpha_P_C                           ,alpha_P_D                           ,alpha_P_E                           ,alpha_plus_P_CaMV35S                     ,alpha_plus_P_CdI3                        ,alpha_plus_P_CAO                         ,alpha_plus_P_EXO70B1_11                  ,alpha_plus_P_IRT1                        ,alpha_plus_P_ZIP5                        ,alpha_plus_P_CdI10                       ,alpha_plus_P_GSTF1                       ,alpha_plus_P_GT                          ,alpha_plus_P_FRO2                        ,alpha_plus_P_RSU1                        ,alpha_plus_P_FRD3                        ,alpha_plus_P_HYP1                        ,alpha_plus_P_ZIP4                        ,alpha_plus_P_ZIP2                        ,alpha_plus_P_lambda                      ,alpha_plus_P_RM                          ,alpha_plus_P_ara                         ,alpha_plus_P_tet                         ,alpha_plus_P_ara2                        ,alpha_plus_P_A                           ,alpha_plus_P_C                           ,alpha_plus_P_D                           ,alpha_plus_P_E                           ,phi_gene_TagBFP                   ,phi_gene_mKO                      ,phi_gene_GFP                      ,phi_gene_mCherry                  ,phi_gene_AraC                     ,phi_gene_tetR                     ,phi_gene_cI                       ,phi_gene_A                        ,phi_gene_B                        ,phi_gene_C                        ,phi_gene_D                        ,phi_gene_E                        ,RNA_carry_gene_TagBFP                   ,RNA_carry_gene_mKO                      ,RNA_carry_gene_GFP                      ,RNA_carry_gene_mCherry                  ,RNA_carry_gene_AraC                     ,RNA_carry_gene_tetR                     ,RNA_carry_gene_cI                       ,RNA_carry_gene_A                        ,RNA_carry_gene_B                        ,RNA_carry_gene_C                        ,RNA_carry_gene_D                        ,RNA_carry_gene_E                        ,Enzyme_carry_TagBFP                        ,Enzyme_carry_mKO                           ,Enzyme_carry_mCherry                       ,Enzyme_carry_GFP                           ,Enzyme_carry_AraC                          ,Enzyme_carry_tetR                          ,Enzyme_carry_cI                            ,Enzyme_carry_A                             ,Enzyme_carry_B                             ,Enzyme_carry_C                             ,Enzyme_carry_D                             ,Enzyme_carry_E                             ,gamma_TagBFP                        ,gamma_mKO                           ,gamma_mCherry                       ,gamma_GFP                           ,gamma_AraC                          ,gamma_tetR                          ,gamma_cI                            ,gamma_A                             ,gamma_B                             ,gamma_C                             ,gamma_D                             ,gamma_E                             ,omega_TagBFP                        ,omega_mKO                           ,omega_mCherry                       ,omega_GFP                           ,omega_AraC                          ,omega_tetR                          ,omega_cI                            ,omega_A                             ,omega_B                             ,omega_C                             ,omega_D                             ,omega_E                             ,C_TagBFP                        ,C_mKO                           ,C_mCherry                       ,C_GFP                           ,C_AraC                          ,C_tetR                          ,C_cI                            ,C_A                             ,C_B                             ,C_C                             ,C_D                             ,C_E                             ,C_plus_TagBFP                        ,C_plus_mKO                           ,C_plus_mCherry                       ,C_plus_GFP                           ,C_plus_AraC                          ,C_plus_tetR                          ,C_plus_cI                            ,C_plus_A                             ,C_plus_B                             ,C_plus_C                             ,C_plus_D                             ,C_plus_E                             ,kappa_TagBFP                        ,kappa_mKO                           ,kappa_mCherry                       ,kappa_GFP                           ,kappa_AraC                          ,kappa_tetR                          ,kappa_cI                            ,kappa_A                             ,kappa_B                             ,kappa_C                             ,kappa_D                             ,kappa_E                             ,W_TagBFP                        ,W_mKO                           ,W_mCherry                       ,W_GFP                           ,W_AraC                          ,W_tetR                          ,W_cI                            ,W_A                             ,W_B                             ,W_C                             ,W_D                             ,W_E                             ,
"0","0","Cd","Cd",1.00,1.00,0.00,0.00,0.00,1.00,1.00,-1.00,0.00,1.00,3.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0","0","Cd","Zn",1.00,1.00,0.00,0.00,1.00,0.00,1.00,-1.00,0.00,2.00,2.00,-2.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0","0","Cd","none",1.00,1.00,0.00,0.00,0.00,1.00,1.00,-1.00,0.00,1.00,3.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0","0","Zn","Cd",1.00,1.00,0.00,0.00,1.00,0.00,1.00,-1.00,0.00,2.00,2.00,-2.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0","0","Zn","Zn",1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,-1.00,2.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0","0","Zn","none",1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,-1.00,2.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0","0","none","Cd",1.00,1.00,0.00,0.00,0.00,1.00,1.00,-1.00,0.00,1.00,3.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0","0","none","Zn",1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,-1.00,2.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0","0","none","none",1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
